"id","availability","description","hauteur","largeur","longueur","nom","prix_unitaire","reference","fournisseur_id"
"4",68,"S5S8E9TA91T46481E3E1T7ROZTSSO488Q82T5583QSSE673RRT9Q389593S2ETAAP4P34O922Y2512T496QA3PEOT512RP6533OPEZ9TZY9R9A5Z15TYS746","488","45","257","QO6O6TES5EP31TO","96.84","S5TOE","3"
"160",82,"RZ8EP7Z777Y2OS7E65QTE977Q73AT9689ESE8E8EYOE8451A4ZP99Q72P5Y9A27456PPT2Y94AT3T33E25A3A4629S3428ZZ9YO7Q464OSZ863RS1AY3P7S5","214","387","30","E6Q8S8RQ59Z86A6","175.9","QSZ7E","3"
"185",97,"E3S3E19832OPQRE6RS5S8R34P3E2R2EZEAOR65E54SYE3R7YSPZSSQY251POEQP8247T3RT4AY1QP5AEQ388S9QE1OE9YZ5638ZATO3Y4QSY2AQRA8PS66Z5","207","39","47","TS3SSEOPY97E3PZ","42.23","E44QS","2"
"155",69,"112136E14Z4TTYYRQAPZ14Z98Y581Z528RZA79QEO8E96495AAO359S5A76RQQP98ZETOY17O4TRTY9P45Q4A8Z2P84E2728Q7SSPR927ZS4318285RYT6O3","348","234","76","5P2R717A6E622Z2","47.44","774RP","3"
"210",94,"Q28Z9Q141E2STOQ1YY67O4SPQ2YQT75ETE464876R75PQ18Y52O8S9T3R75QT49TS82Y8SSZYE5A3EO27OQ7EA6ESA2R37QY36OOS12398RPS62S28S6E4EP","33","134","139","278TSAETAR24AAE","401.9","T366A","2"
"219",33,"Q52P4S62P2Q4RQ82T5562876SSTT3O495246P4QA559341T3APT3P9EYET4SZTA4R114YYYP9A331E27STOY9TSZ9Q6ZYA519Q21798RZ7963TE59PZ7OS88","439","338","39","SAAZZ5SSZR6TZPT","214.71","3OOQ1","3"
"216",6,"OYEQ6334OS5RR3T38OA1Z94916Z6831RSR1E6YR144SE17E25P296RQ4T18T8RS7S81SZQ48PS5ZZO3S6AEOT4TE2QR725A45P6324T85QAPSTZ79ZAZ9RAA","157","321","366","Q57PZE1S8R7YSSE","127.27","RO5RE","3"
"718",62,"3Y35TZYYO4O6YYQ9PTPAZOT543445R61E831Y24EYA96346696691S44PPETZQS5A4S17Y5ZEPPOP2788156PT4499864TP2Z57E6E1A65O7YRYQ2YAO6545","370","203","56","87Z213315S66E2E","139.27","PYE6Z","2"
"724",67,"77S85Y9O8TTS8TAE6TO6Y8E7E6Z366AOAZYA7AZSYR5159ER1R721A4ZZR1S398OP183O96Z85PQTE158OARAY327E8YPO131EOQPT6PT9AQZOTZS2T8SYR8","103","471","354","P67PASS2S5E762O","145.87","AR15E","2"
"128",21,"RSS5O6P38Q262ESY2576S73OZO1E7Y519794OE9ZA93QE6A918PP52ZP481T8SQT9AAO2634Q72SZSA4QERRPS611P5PQRQ95995Z76O7YZQ5QOYT22Q7Q95","193","202","257","3T1A48P8887EE91","379.37","T5217","3"
"107",3,"2P3Q794P1437793465Q5ZA8S19YYOQ58AZ5A926RT6335S5O53EQY9Y962E9OE34O55Z2ZOY1O3AO5R88P2RAR1QTT48O9Q1AP1O9O51Y3537EA89AZ45T85","60","149","484","68EA3PAA8Q8724S","307.8","Q3T9P","2"
"245",66,"SYQ456QQS53P866ROPEEO6S3QPS46725ZO5P5535SRO53SR1EASESATTASPS4E3Y98APT73E83Z3P9PP2TT6YOT7Q32YE982653T69ZTZRTETT836A72373R","201","117","163","Q4S45PPQAR8QPQQ","231.55","41EO8","2"
"123",10,"841T949O95OOE2Y554Z18OE5S984YYP637ZQY26958135OZQQ2RZQREA1Y9Y6YZQ1ERQ55A8Q6O275OO6T6QAY67ROYYEOR8YPZE12Z8PT4YQSOEQYPYA7RT","270","238","118","4QQYTO2P7Y1SY29","122.95","26RTP","1"
"217",30,"9EZA984TY8OZ9OR9411E21SZ7O47RQ2O8S1TS546T4RE9PYQZZ28R259O4PQT32QASEY76SZA4E7325P164ZQYRTE9S981YQ39713YA3Y91E1OZT4O5826S6","403","378","95","7A2PRR97R5EQ6PE","140.4","YOQ9Z","3"
"176",6,"4O62SE983TPY6T63YZP7QA6OOEET7YS98R8Z9AT6R77E4Y92Z15Z45A6Q5ZE649Q6Q52323R1P448RZSE7OSYE2OQOT1T29214T8YO2716SE6AO56PE6YT7Q","32","361","496","YP64EOA9AS79132","364.73","1P1O1","1"
"105",44,"T5P64S12E86PES448QRQ3Q3RT5ESA194TY518O24OST9Q9SS84O3P1QY93ARZ734ET9PQSS9RR47P1R7Y8E5656TE4ZT8567ZSOQZ9SEE432T69E54S8Q7Q7","132","322","297","SAP1E87OZ357OP9","204.62","A963Q","2"
"214",24,"6O4Z15E999Y34OTY54EO6Q6RA658POTY4OSS96QZQQS152EAZ1Z6P5AZE526666P96R5R67PYRZ54YS53E15O83YEY543S5TREP8SPYO3YZ926APZ9RSTYZY","384","244","122","29EAO7SO8TPZ4Z1","496.21","SYA66","3"
"727",60,"Q759AZAZOYY525YYT58P118OP162ZS71TSQ7Y7T6PA11E7T6A49471Q59S3Z283R42Z1ATO11SE6RO9Y7ASA5TZS571Z99ZOTQ6AO45Q7ZA8AS45R3ET9R58","303","236","442","6ST92EQR1T14Q4P","81.9","3YZ22","3"
"87",65,"S32PTYT2R61RYT7YZZ5Y46835ZTTY1TY1SE7E992RZAO7TPYTAE6P5ZTRO4Y4S6AAPYPRS713O886AQESZ7111SOA5RZ1E7ZR9AARQP7292ZYP65T8P84167","445","425","147","OATE531S51A1RQZ","106.32","A9165","1"
"66",4,"382ZEAQER7T894Y197TP989R7Y1ROSR5Q4YS82QSOYQ7P2PRZA93QT28Q4893PE47A6SYR8T13S343ZSOS28RS23Q21RZTZSZASTOZE5O761432Y78S415YA","339","402","157","6T81S5S7P41RQER","481.66","A8737","1"
"62",21,"7R5TAY19961YRT4E84OOE3P64A91ZA9A591SS77Y8Q1A613RZ627YY6AA4RQ22O1RZ1Y42AA7TE8OT9TY1735Q4PP3P6QAZ67AO8441P6YO1SOOEO22EA8QO","90","52","309","R8OP6E646Z523OS","476.2","PZ5A9","2"
"721",5,"6QZA728O22SP89P9847Q3PPS2A7ZT29TE82R63T3RT384R23372S7QZA32E73P372SP98Q58PRARAY24Y5QO1621ES5OR6RR7EYQ98PQ7A9S8625TZPE5Z9T","354","200","82","Z5ZOE1PA9EZE7T2","477.46","R2A9E","1"
"73",90,"62Q646YRPEYA9T9SO5EQ91SR8STS9OZE3ESYS7AZ37R4Q7711Z9RRT8A4PO784YEPZTA64OA36Z73Y9ZA7Z18R5QQS23A26P6A85SOY2PAARPO32OSR2EAZ7","140","366","466","PZ2ZE8T9EYO37PE","267.36","7Q23E","2"
"82",74,"8ORQ7YTPQ272ZTZZZP2ORP7S7Y92SYSSZRZYQ41OAZT5R516169SETR4ZOATO3Z9TTQYY3QSTZO2Y173TS6OS4Z6SOE92246TS69Z4S5474PZTQ1RA1PQ86O","151","494","126","Y6R7P1SAQE86OY3","219.9","633YR","1"
"187",74,"TT4ZQ12Q2S2Q68E5Z18692SP69YRET76R2A13Z61EYA5OT913O7S449YO124SRQ991P1TTP3S78R52T9112R1279ZZ9P83Y72Z38S7RQYR72P6Y7YS2T4EZ6","310","440","131","7S33OQ22PS1A87S","314.26","P73PO","2"
"71",95,"Y2R969947T35SE272EQ55Q1S51487Q8Q9AS63P1T1E4E13OYEY9TTY6Y6844ZRE5TOETEQ8YEA4R88691796YQEO749Y1EQ7YSA4YEQ1Y5141ER7A4ZR63Q5","269","257","326","59852SA9ZAEYQYS","114.31","47ZTS","2"
"88",50,"T671Y578P3QRRA7STS2715TPAQPA47PZER6ZRE14P133Q7TRAS452E48S83R89S99929Y3T9AQ2Q3524YA4OZAQ844945Z943TTA28119YE34953Q7T3R42P","84","75","109","A394RE829O26518","223.68","93ST9","2"
"56",94,"231RSOY3RRE3AP3YQ2QQS55A56OQO5S3Z9Z9ZEES2EQ3RY3869Y35YO1O2RE7P3PYOS92T8538E114953OT5169EYT74STPZAZZE5QY3567362YYZEEPR2TO","184","93","169","4SZ64EPZ188E5AZ","46.25","77O57","3"
"232",86,"86AE3P8AEOOR864RYS7ZERE7T8O4659SP6TTYP347P9E43AAT96SP25488A3Q4Q6QE34R27S9677AAZ12P2Q8942S5TTZPY2OPQZ77RYZ34AZ7OZ28T6RTRZ","42","78","196","6Z7ZROR76SZA252","367.73","82P1O","3"
"79",49,"Q49O8P4113833PS2Q8QR5QAQR7A5T6337P6YEPT9679OYY5O8APOES62PR5634OTRO74A6TSA7RPY4YSO56QAE7SQ66Q4QQZ8OEEP745AZ14PYAYTTA4QS74","481","347","492","OSAO37O1EYEO8YR","452.53","T1ZS3","3"
"141",34,"27AAOYR2A4Z93R91SO71T2Q1754Y767O2QQARPY4Z5ETER19T7A1ZYT52PSPPT48568S17YE6A25RSZZ92SA8SSP3OOEY8EAOT7YZZ14398T1443T5Q9REYR","23","306","304","ZQ6T183ASOZY95Y","259.3","TQT44","2"
"195",3,"S2T8R411Y93671RYZA52PARA9PT72ET12PR4T6Q6YER7PA4TSA7898A8TS7P72Z61EZE666R3377Q178Y451Z1E427O6T3AQRY17Q61QA9TSESZO82OT8Y43","313","345","23","Z291957T7RQE9SS","133.76","TSP77","2"
"55",13,"E52ZSYPZ5S118157Q2Z32P8PQ556APS877E59E61E829OAYR33ZPA8ERYETRPP583YP5SSEQE6EZ8YQE62YE87P5OZETZ32RYY5YT161Y6ATZZYP5Y36O9S2","343","119","317","76Y92T6AZQ9Y2E2","181.78","7Q9ZS","3"
"344",94,"3AQ4QQO8ZYS1EP2YY9ZA27S3YQ1YOR42O2621259E17766ZSYO6TEY4QA518QT742ZSZ96TEQETY3TA7ZZ1YA529Z7667S9OE7R5784A4AP2681E8ZQPT9R3","158","309","259","69SP79SY4QP51Z4","162.44","O6Q23","1"
"67",43,"2Y6Z92A6Y5Q28O3TSZAYZ7E2RE965EA538S4999R7PSQEPYOPA5P6176YTP4R4RT2A71EPSO29TOA462ESETTZ67QA32R4O99RS6149RSEPQ93P75P1892QZ","415","441","484","PP163RP6YZP2OES","467.5","9A8E5","3"
"50",36,"96193S3ERREOQR4SE58YA1ROQ19872RRZ5478Q3R76R6EAE9AAS862S4AYQ66533E8TEZ888PR9T9SPP28755EOPO5A37RO7714PQRP3S462RE52AZ51468A","196","391","174","Y36ZYO1233A4R5S","206.64","Y52P6","2"
"150",58,"SYTY2RT5P4RO8O135TOE4PP5Y55ZQ14EOZ7PPATZ3P63565341EZQRA15PZ93222EYR2QY72A8ETRPT4YZRROY4T3TYTR276S23178Z4RTT9O6687A9PSPP6","150","285","430","58Y4YP878TR66PZ","276.99","9QTTT","1"
"122",1,"365E13369R88156S7187R1O4QZQ89OQ32Q966P878AR7RQ5Z985YYQP1OZ175YQQ4Z95Z4TTASOQ4O4479PT699A3TR6S1T18T8O6TE58E9P1PEZ5E8OA884","368","210","495","315YP85RA78PYYP","36.91","SRZPA","1"
"8",5,"O8E651EP164T32EZZAT7ETQ4R14AQ4OYE6EP3APT57E5AR7RAT1SRSZ46APYZYQOO7ZYS68SS8ZZZZ67OQ99Q69TR57SOOYYP5PSE41OAYZYESQS15RZOQ5P","455","378","128","59T7A6OO44OQ94O","248.88","QEQ41","3"
"54",38,"1EEEQ7ER1Q3PP93QTE7355861Y23R9ZA3PZRAE4R92RY8YSA2E567TYP2A43YRO5YPZ3Y8E7EYT4ZETE19997O54S5EZP135RTZTA341O553YQO4AZ49YTEA","215","54","189","3SZZAS914P39854","280.98","48SRE","2"
"40",31,"YY93YY8YY1P7P2A7536YRYEZP7QOE2AQ5ERT12ZO4AP4T4ZQ7Z24S8OS9ZETOQ3OR6Z48SSEY9RYQT9Y2TZ331ES4RY8461S842QYPQQPA3TAAZPPS64O85Z","453","264","193","6QA1ZZQ8PZR8Y6S","148.6","Y79Q2","3"
"241",23,"O264Z5O1ZS7Q5PO9S6SZ2Z7Y8AOR2P234A8SET57S7RRAZS58E4Y497TT474Q76TEAS2R1QY421P3PEPQQ1A3E9ZT4Q56469Z848STPQAYS9Y259TPA9Q8RR","101","98","22","Y14E9PZS145P987","20.23","ATOZ1","2"
